symbol,quarter,promoter,public
EROSMEDIA,2019-09-30,62.39,37.61
GESHIP,2019-09-30,30.07,69.93
GODREJPROP,2019-09-30,64.45,35.55
JAYNECOIND,2019-09-30,70.98,29.02
KSOILS,2019-09-30,7.54,92.46
LINCOLN,2019-09-30,31.68,68.32
MAGNUM,2019-09-30,53.18,46.82
MITCON,2019-09-30,0.0,100.0
MPHASIS,2019-09-30,52.22,47.78
MSPL,2019-09-30,41.62,58.38
MURUDCERA,2019-09-30,66.83,33.17
NEUEON,2019-09-30,37.19,62.81
NIRAJISPAT,2019-09-30,74.58,25.42
ORBTEXP,2019-09-30,64.6,35.4
ORIENTALTL,2019-09-30,28.08,71.92
PUNJLLOYD,2019-09-30,13.9,86.1
SANDHAR,2019-09-30,70.25,29.75
SMSPHARMA,2019-09-30,67.29,32.71
SOBHA,2019-09-30,51.75,48.25
UPL,2019-09-30,27.89,72.11
WILLAMAGOR,2019-09-30,62.01,37.99
WSI,2019-09-30,37.69,62.31
A2ZINFRA,2019-12-31,28.67,71.33
BBTC,2019-12-31,74.04,25.96
BCG,2019-12-31,15.14,84.86
BFINVEST,2019-12-31,74.13,25.87
BFUTILITIE,2019-12-31,56.74,43.26
BHARATFORG,2019-12-31,46.25,53.75
BILVYAPAR,2019-12-31,52.62,47.38
CAMLINFINE,2019-12-31,22.85,77.15
DELPHIFX,2019-12-31,89.94,10.06
DSKULKARNI,2019-12-31,46.84,53.16
ERIS,2019-12-31,56.23,43.77
GALAXYSURF,2019-12-31,70.94,29.06
GFLLIMITED,2019-12-31,68.72,31.28
GODREJPROP,2019-12-31,64.45,35.55
JAYNECOIND,2019-12-31,70.98,29.02
KRBL,2019-12-31,59.13,40.87
KSOILS,2019-12-31,7.54,92.46
LINCOLN,2019-12-31,31.68,68.32
MAGNUM,2019-12-31,53.18,46.82
MARATHON,2019-12-31,74.97,25.03
MSPL,2019-12-31,41.61,58.38
MTNL,2019-12-31,56.89,43.11
MURUDCERA,2019-12-31,66.83,33.17
NIRAJISPAT,2019-12-31,74.59,25.42
PUNJLLOYD,2019-12-31,13.9,86.1
RELIGARE,2019-12-31,0.88,99.12
SANDHAR,2019-12-31,70.25,29.75
SANWARIA,2019-12-31,54.1,45.9
SOBHA,2019-12-31,51.75,48.25
TALWALKARS,2019-12-31,38.49,61.51
TARMAT,2019-12-31,53.94,46.06
TCIFINANCE,2019-12-31,24.72,75.28
UPL,2019-12-31,27.89,72.11
V2RETAIL,2019-12-31,52.37,47.63
WILLAMAGOR,2019-12-31,62.01,37.99
WSI,2019-12-31,37.69,62.31
A2ZINFRA,2020-03-31,28.67,71.33
AAKASH,2020-03-31,73.33,26.66
AURUS,2020-03-31,36.37,63.63
BBTC,2020-03-31,74.05,25.95
BCG,2020-03-31,13.97,86.03
BFINVEST,2020-03-31,74.13,25.87
BFUTILITIE,2020-03-31,56.74,43.26
BHARATFORG,2020-03-31,46.25,53.75
BUTTERFLY,2020-03-31,64.77,35.23
CAMLINFINE,2020-03-31,22.85,77.15
CANDC,2020-03-31,32.36,67.64
DHUNINV,2020-03-31,74.95,25.05
DSKULKARNI,2020-03-31,46.84,53.16
ERIS,2020-03-31,55.55,44.45
GANDHITUBE,2020-03-31,73.39,26.61
GODREJPROP,2020-03-31,64.45,35.55
HALEOSLABS,2020-03-31,68.0,32.0
JAYNECOIND,2020-03-31,70.98,29.02
JINDALSTEL,2020-03-31,60.48,39.52
KSOILS,2020-03-31,7.54,92.46
LINCOLN,2020-03-31,31.63,68.37
MAGNUM,2020-03-31,53.18,46.82
MANINDS,2020-03-31,42.26,57.74
MARATHON,2020-03-31,74.97,25.03
MCLEODRUSS,2020-03-31,27.0,73.0
MITCON,2020-03-31,0.0,100.0
MSPL,2020-03-31,41.61,58.38
MURUDCERA,2020-03-31,66.83,33.17
NARMADA,2020-03-31,68.91,31.09
NIRAJISPAT,2020-03-31,74.59,25.42
PALREDTEC,2020-03-31,37.78,62.22
PUNJLLOYD,2020-03-31,13.9,86.1
RAJESHEXPO,2020-03-31,54.04,45.96
SANDHAR,2020-03-31,70.29,29.71
SOBHA,2020-03-31,51.78,48.22
